name,region,elev,id,lat,long,elev_cat
Myoko-san,Chubu,2454,10813,36.8913,138.113428,Cat 3
Hiuchiga-take,Tohoku,2356,10809,36.955111,139.285308,Cat 3
Azumaya-san,Kanto,2354,10828,36.541733,138.412848,Cat 3
Takazuma,Chubu,2353,28134,36.800078,138.051909,Cat 3
Asahi-dake,Hokkaido,2291,10774,43.663556,142.854085,Cat 3
Chokai-zan,Tohoku,2236,10790,39.099396,140.048861,Cat 3
Mizugaki,Chubu,2230,28139,35.8935,138.592104,Cat 3
Shibutsu-san,Tohoku,2228,10812,36.903467,139.173217,Cat 3
Ena-san,Chubu,2191,10876,35.443045,137.597859,Cat 3
Kusatsu-shirane-san,Kanto,2160,10823,36.64394,138.527671,Cat 3
Hotaka-yama,Kanto,2158,10816,36.805211,139.132578,Cat 3
Naeba-san,Kanto,2145,10814,36.845978,138.690286,Cat 3
Sukai-san,Kanto,2144,10821,36.689889,139.337006,Cat 3
Hiraga-dake,Tohoku,2141,10806,37.002067,139.170907,Cat 3
Tomuraushi,Hokkaido,2141,28131,43.5271,142.848747,Cat 3
Komaga-dake,Tohoku,2133,10805,37.047544,139.353519,Cat 3
Iide-san,Tohoku,2105,10798,37.854867,139.707044,Cat 3
Tokachi-dake,Hokkaido,2077,10777,43.417822,142.686269,Cat 3
Daibosatsu-rei,Chubu,2057,10862,35.748778,138.8455,Cat 3
Poroshiri-dake,Hokkaido,2052,10783,42.719411,142.682866,Cat 3
Iwate-san,Tohoku,2038,10788,39.852611,141.001032,Cat 3
Nishi-Azuma-yama,Tohoku,2035,10799,37.738178,140.140714,Cat 3
Utsukushigahara,Chubu,2034,10845,36.225833,138.107417,Cat 3
Kumotori-yama,Chubu,2017,10859,35.855511,138.94389,Cat 3
Echigo-komagatake,Tohoku,2003,28132,37.123644,139.075233,Cat 3
Gassan,Tohoku,1984,10793,38.549144,140.026924,Cat 2
Ishizuchi-san,Western Japan,1982,10912,33.767741,133.115104,Cat 2
Tanigawa-dake,Kanto,1977,10815,36.8371,138.930144,Cat 2
Makihata-yama,Tohoku,1967,10807,36.978589,138.964483,Cat 2
Amakazari,Chubu,1963,28133,36.902011,137.962586,Cat 2
Tsurugi-san,Western Japan,1955,10910,33.853601,134.094235,Cat 2
Miyanoura-dake,Western Japan,1936,10940,30.335971,130.504288,Cat 2
Kirigamine,Chubu,1925,10850,36.102911,138.196665,Cat 2
Hayachine-san,Tohoku,1917,10789,39.558544,141.48873,Cat 2
Hakken-zan,Western Japan,1915,10905,34.173667,135.907507,Cat 2
Nasu-dake,Tohoku,1915,10803,37.124856,139.963098,Cat 2
Yotei-zan,Hokkaido,1898,10782,42.826611,140.811494,Cat 2
Asahi-dake,Tohoku,1870,10794,38.260556,139.922272,Cat 2
Zao-san,Tohoku,1840,10795,38.14367,140.439363,Cat 2
Akagi-san,Kanto,1828,10827,36.560378,139.193293,Cat 2
Bandai-san,Tohoku,1816,10801,37.600989,140.072213,Cat 2
Kuju-san,Western Japan,1787,10923,33.082147,131.240849,Cat 2
Sobo-san,Western Japan,1756,10927,32.828145,131.347038,Cat 2
Ryokami-san,Chubu,1723,10852,36.023411,138.841273,Cat 2
Rishiri-zan - Kita-mine,Hokkaido,1719,47014,45.180358,141.241433,Cat 2
Dai-sen - Misen,Western Japan,1709,47009,35.371039,133.53998,Cat 2
Karakuni-dake,Western Japan,1700,10932,31.934172,130.861579,Cat 2
Adatara-yama,Tohoku,1700,10800,37.621133,140.287876,Cat 2
Odaigahara-zan,Western Japan,1695,10904,34.185256,136.109207,Cat 2
Rausu-dake,Hokkaido,1660,10771,44.075689,145.122209,Cat 2
Iwaki-san,Tohoku,1625,10786,40.655933,140.30302,Cat 2
Hachimantai,Tohoku,1613,10787,39.957745,140.854103,Cat 2
Aso-san,Western Japan,1592,10926,32.884333,131.103919,Cat 2
Hakkoda-san,Tohoku,1585,10785,40.658933,140.877276,Cat 2
Tanzawa-san,Kanto,1567,34475,35.47432,139.162773,Cat 2
Shari-dake,Hokkaido,1547,10772,43.765711,144.717708,Cat 2
Arashima-dake,Western Japan,1523,10854,35.934278,136.601237,Cat 2
Meakan-dake,Hokkaido,1499,10778,43.386433,144.008627,Cat 2
Amagi-san,Chubu,1406,10897,34.862856,139.001806,Cat 2
Ibuki-yama,Western Japan,1377,10879,35.417856,136.406373,Cat 2
Kaimon-dake,Western Japan,924,10937,31.179944,130.528397,Cat 1
Tsukuba-san,Kanto,877,10844,36.225403,140.106705,Cat 1
